bin_class	holder_name	currency	daily_limit	monthly_limit	initial_balance	creation_date
known_400000	normal	RUB	default	default	default	september
known_400001	max_length	USD	custom	custom	zero	year_end
known_400000	normal	RUB	custom	custom	positive	year_start
short	normal	USD	custom	default	default	year_end
non_numeric	max_length	USD	default	default	default	year_start
known_400000	missing	USD	default	default	positive	year_end
known_400001	too_long	USD	default	custom	positive	september
known_400000	max_length	invalid	custom	default	zero	september
known_400001	too_long	RUB	default	default	zero	year_start
short	max_length	RUB	default	custom	positive	year_start
known_400001	normal	invalid	custom	custom	zero	year_end
non_numeric	normal	RUB	custom	custom	zero	year_end
known_400001	missing	RUB	custom	custom	zero	september
known_400001	normal	invalid	custom	custom	default	year_start
known_400000	too_long	USD	custom	default	default	year_end
short	normal	USD	default	default	zero	september
non_numeric	normal	USD	default	custom	positive	september
known_400000	missing	USD	default	default	default	year_start
known_400001	normal	invalid	default	default	positive	september
