card_status	amount_vs_daily	amount_vs_monthly	amount_vs_balance	expiry	terminal_type	mcc
BLOCKED	above	above	above	past	POS	5411
ACTIVE	above	above	above	past	POS	5411
ACTIVE	below	below	below	future	ATM	5411
ACTIVE	equal	equal	equal	future	ECOM	5812
ACTIVE	equal	below	below	current_month	POS	3501
ACTIVE	below	equal	above	current_month	ATM	5732
ACTIVE	below	below	below	past	ATM	3501
ACTIVE	below	below	below	past	ECOM	5732
ACTIVE	above	equal	equal	future	POS	3501
ACTIVE	above	above	equal	current_month	ECOM	5732
ACTIVE	below	below	below	past	POS	5812
ACTIVE	equal	below	above	current_month	ECOM	5411
EXPIRED	below	below	below	future	POS	5411
ACTIVE	above	above	above	future	ATM	5812
ACTIVE	below	above	below	future	ECOM	3501
ACTIVE	equal	equal	below	future	ATM	5411
ACTIVE	above	below	below	current_month	POS	5812
ACTIVE	below	below	equal	future	ATM	5411
BLOCKED	below	below	below	future	POS	5411
ACTIVE	equal	above	above	future	POS	3501
INACTIVE	below	below	below	future	POS	5411
ACTIVE	equal	below	below	future	POS	5732
